away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
2,10,5,13,3,2010-08-21,2,10,6,20,2,3.25,3.3,2.25,A
1,40,1,5,8,2010-08-21,2,10,6,26,2,1.22,6.0,15.0,A
1,22,1,4,8,2010-08-22,3,7,5,14,2,1.57,4.0,6.0,D
4,17,2,7,4,2010-08-23,3,18,3,8,4,3.1,3.25,2.38,H
3,19,3,9,4,2010-08-28,3,11,2,8,5,1.57,4.0,6.0,A
2,7,5,17,3,2010-08-28,0,45,1,4,9,23.0,9.0,1.11,H
2,11,6,21,2,2010-08-28,2,21,1,6,7,19.0,8.0,1.14,H
2,9,6,30,2,2010-08-28,1,14,3,13,6,13.0,5.75,1.25,A
5,13,1,9,4,2010-08-29,1,13,4,20,5,2.88,3.25,2.5,H
4,11,4,16,2,2010-08-29,2,9,5,14,3,3.6,3.3,2.1,D
3,21,2,6,5,2010-08-29,2,10,5,13,3,1.83,3.5,4.5,H
3,11,4,14,3,2010-09-11,3,19,3,10,4,13.0,5.5,1.25,H
2,22,1,5,7,2010-09-11,5,11,2,10,3,1.91,3.4,4.2,D
6,8,2,9,2,2010-09-11,5,10,3,14,2,4.5,3.5,1.83,H
3,10,3,9,4,2010-09-11,3,18,3,7,4,10.0,5.0,1.33,D
0,42,1,4,9,2010-09-11,2,10,6,21,2,1.33,5.0,10.0,A
1,10,5,12,4,2010-09-11,2,9,6,30,2,2.88,3.25,2.5,D
4,13,2,7,4,2010-09-12,5,12,3,16,2,2.4,3.2,3.1,D
1,13,3,13,6,2010-09-13,2,6,6,19,2,2.88,3.25,2.5,H
3,12,4,14,3,2010-09-18,1,13,4,15,5,4.5,3.6,1.8,D
5,10,3,14,2,2010-09-18,4,10,3,10,3,4.0,3.3,2.0,D
2,11,6,23,2,2010-09-18,2,6,6,20,2,4.2,3.4,1.91,D
2,22,3,10,5,2010-09-18,2,11,4,10,4,1.67,3.7,5.5,D
5,9,3,11,2,2010-09-18,2,12,3,12,5,8.5,4.5,1.4,H
5,10,2,7,3,2010-09-19,3,21,1,8,6,5.5,3.5,1.7,H
4,13,3,7,3,2010-09-19,3,10,5,28,2,1.73,3.6,5.0,A
3,9,5,28,2,2010-09-25,4,11,4,17,2,4.5,3.5,1.83,D
4,12,3,12,3,2010-09-25,5,11,3,15,2,2.63,3.2,2.75,D
3,9,4,10,3,2010-09-25,4,11,3,9,3,7.5,4.33,1.44,D
0,40,1,3,9,2010-09-25,4,10,3,6,3,2.1,3.3,3.6,H
2,13,3,12,5,2010-09-25,2,10,6,22,2,2.1,3.4,3.5,H
3,23,0,8,7,2010-09-26,4,13,3,14,3,1.5,4.0,7.5,D
1,12,4,14,5,2010-09-26,5,10,3,13,2,2.5,3.25,2.88,A
4,10,3,10,3,2010-10-02,5,10,3,12,2,2.63,3.1,2.88,A
3,13,3,12,4,2010-10-02,2,8,5,20,3,3.4,3.2,2.25,H
3,25,0,10,7,2010-10-02,4,11,3,11,3,1.75,3.5,5.0,D
1,12,4,14,5,2010-10-02,2,11,4,12,4,4.0,3.5,1.91,H
5,11,3,15,2,2010-10-02,2,10,6,22,2,3.3,3.25,2.25,D
4,11,4,15,2,2010-10-02,3,9,5,28,2,3.3,3.25,2.25,H
