away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
6,6,4,17,106,42,121,39,0,0,21,3,11,83,33,90,43,7,17.0,7.0,1.18,H
5,9,3,13,116,43,115,30,2,3,10,5,17,134,47,113,45,2,3.6,3.2,2.2,H
0,34,1,6,122,36,185,85,9,4,8,5,12,130,41,112,37,1,1.22,6.5,13.0,A
1,22,3,9,73,26,164,60,6,4,3,4,8,126,44,94,31,2,1.18,7.5,15.0,A
1,15,3,10,106,46,121,55,6,2,15,2,9,125,39,101,44,6,5.25,3.6,1.73,H
0,9,6,17,112,46,146,46,4,0,22,3,11,77,30,90,39,7,12.0,6.0,1.25,H
0,32,1,6,117,35,188,83,9,4,9,3,14,131,44,98,35,3,1.14,8.0,21.0,A
1,25,2,6,62,22,162,61,7,3,10,4,14,131,45,120,48,3,1.17,7.0,19.0,A
2,15,3,14,155,53,94,36,5,4,9,3,10,130,40,100,34,3,4.75,3.6,1.75,H
5,9,3,11,118,45,120,32,2,3,19,1,8,118,39,135,57,6,11.0,5.0,1.29,H
1,11,4,12,100,45,107,48,5,2,9,5,13,95,38,97,33,3,3.75,3.2,2.05,D
1,10,7,20,156,66,101,29,2,1,13,5,19,116,49,107,39,4,5.25,3.5,1.7,H
5,5,5,18,111,42,118,37,0,3,3,5,12,124,45,96,32,2,3.4,3.2,2.2,D
2,15,2,9,117,39,95,40,6,3,15,2,9,112,33,106,37,5,3.4,3.3,2.2,H
2,2,7,10,109,41,145,42,1,4,8,5,14,142,43,107,33,1,2.5,3.2,2.88,H
4,4,4,12,113,43,100,37,2,0,8,6,17,116,46,140,43,4,5.25,3.5,1.75,A
4,8,3,12,128,40,106,35,3,2,2,8,12,103,38,142,40,0,8.5,4.2,1.44,H
0,21,3,10,79,29,86,36,7,2,12,4,13,158,51,95,35,4,1.57,3.8,6.5,A
3,8,5,19,128,48,115,46,2,6,7,4,16,106,41,112,34,0,4.33,3.25,1.95,H
4,10,2,9,133,42,114,38,4,0,31,1,6,117,34,183,81,9,17.0,7.0,1.18,H
4,8,5,14,140,43,104,35,1,1,9,7,21,163,70,96,25,2,3.3,3.1,2.38,H
3,19,0,5,123,37,136,57,7,1,31,1,5,58,21,155,60,8,13.0,7.0,1.2,H
3,9,5,14,99,40,99,36,2,5,7,4,11,119,44,120,28,1,2.38,3.1,3.3,A
1,15,4,17,114,45,110,43,5,2,14,3,11,119,43,97,42,5,6.0,3.8,1.62,H
3,15,2,9,108,35,113,42,5,2,11,4,13,106,50,109,49,4,2.8,3.2,2.63,H
