away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
0,22,3,15,111,35,154,68,7,2010-02-26,2,13,2,5,94,24,125,35,6,3.8,3.3,2.0,H
2,7,7,20,125,55,111,30,1,2010-02-27,6,12,1,13,154,52,100,36,3,3.3,3.3,2.2,D
3,8,6,18,117,46,133,29,1,2010-02-27,4,13,4,15,122,53,123,50,2,2.8,3.25,2.5,A
4,14,3,16,137,52,114,43,3,2010-02-27,4,24,0,11,88,33,168,69,6,8.5,4.75,1.36,D
3,17,5,18,93,46,156,52,2,2010-02-27,4,7,4,13,165,55,88,34,2,1.83,3.5,4.33,A
3,5,6,14,171,56,84,23,1,2010-02-27,2,18,4,17,154,50,134,58,4,4.75,3.4,1.8,D
4,16,1,10,127,42,116,42,5,2010-02-27,2,21,2,14,121,42,146,63,6,5.5,3.75,1.62,H
5,16,1,8,123,40,137,62,4,2010-02-28,1,30,0,9,115,52,163,77,9,7.5,4.2,1.44,H
4,15,5,22,151,60,148,53,1,2010-02-28,1,9,9,29,143,67,111,36,0,1.91,3.6,3.8,A
3,18,4,18,145,48,142,61,3,2010-03-06,0,21,4,16,113,42,147,64,6,5.25,3.6,1.67,H
2,15,1,5,89,23,123,39,7,2010-03-06,4,14,2,11,133,44,116,37,4,2.2,3.25,3.3,A
1,28,0,9,113,48,169,77,9,2010-03-06,4,14,3,16,144,53,106,42,3,1.44,4.0,8.0,D
1,9,9,27,145,66,121,36,0,2010-03-06,4,5,6,15,171,59,86,22,0,3.2,3.25,2.25,A
4,12,4,14,121,49,123,45,2,2010-03-06,4,15,2,8,126,39,135,59,4,7.5,4.2,1.44,H
2,23,1,11,111,35,153,69,7,2010-03-06,2,17,5,17,93,47,139,49,3,3.5,3.5,2.0,D
6,12,1,13,155,52,108,38,3,2010-03-06,3,14,5,20,151,60,151,53,2,7.0,4.0,1.45,H
3,7,5,14,158,53,84,33,2,2010-03-07,3,9,5,16,114,41,130,31,2,4.75,3.6,1.73,A
5,20,0,11,80,32,158,64,5,2010-03-07,3,7,6,19,131,57,102,29,1,1.67,3.6,5.25,H
2,24,1,12,121,39,149,68,7,2010-03-12,2,17,1,6,89,22,121,40,7,3.4,3.4,2.1,H
3,4,7,15,153,53,92,23,0,2010-03-13,2,27,0,9,112,44,168,75,8,17.0,7.0,1.17,H
0,20,4,16,106,42,145,59,6,2010-03-13,5,12,2,16,154,52,109,37,3,2.1,3.3,3.5,A
4,13,3,15,131,46,113,35,3,2010-03-13,0,11,9,28,144,67,123,36,1,2.9,3.3,2.4,H
3,10,5,17,126,51,102,31,2,2010-03-13,4,12,4,13,122,48,124,44,2,3.5,3.3,2.1,A
4,15,3,17,140,55,109,45,3,2010-03-13,3,8,4,12,158,50,85,31,3,3.5,3.3,2.1,H
2,16,5,19,154,57,140,49,3,2010-03-13,3,17,4,19,146,49,133,54,3,2.4,3.4,2.8,A
2,19,5,19,99,50,138,52,3,2010-03-14,2,9,6,17,122,39,131,31,2,2.5,3.3,2.75,A
3,16,2,8,125,40,143,59,5,2010-03-14,4,22,1,14,82,32,159,67,5,3.75,3.4,2.0,H
3,12,5,20,143,53,141,56,2,2010-03-19,3,15,4,18,140,57,109,45,3,3.25,3.3,2.2,D
3,24,1,14,83,33,165,69,6,2010-03-20,0,21,4,16,102,42,147,62,6,2.9,3.25,2.4,H
2,24,0,9,111,44,166,75,8,2010-03-20,3,13,4,16,126,46,111,38,3,1.4,4.5,8.0,H
2,8,4,11,162,50,84,32,4,2010-03-20,2,5,8,17,163,60,87,22,0,2.88,3.3,2.4,H
1,8,7,17,123,43,121,26,2,2010-03-20,3,12,4,14,134,52,109,34,3,2.75,3.3,2.55,D
0,10,8,24,140,66,115,37,2,2010-03-20,1,24,2,13,119,37,153,69,7,7.0,4.33,1.44,H
5,12,2,15,144,51,112,36,3,2010-03-20,2,20,4,17,100,48,145,56,4,9.0,5.0,1.33,H
2,17,1,7,91,24,124,40,7,2010-03-21,3,14,3,12,132,44,135,55,4,3.1,3.3,2.3,D
3,11,5,13,128,49,141,50,2,2010-03-21,2,19,4,16,168,59,144,56,4,6.5,4.0,1.5,A
2,13,4,15,120,44,112,40,4,2010-03-26,5,11,3,16,145,53,111,33,2,3.0,3.25,2.38,A
1,23,2,12,125,38,148,63,7,2010-03-27,2,20,1,9,116,46,156,67,7,5.5,3.75,1.62,A
4,13,4,19,146,61,102,42,2,2010-03-27,0,8,8,23,136,61,111,36,2,3.1,3.25,2.3,A
0,23,4,16,109,44,150,65,6,2010-03-27,3,14,4,9,120,42,151,53,3,2.2,3.3,3.25,D
3,18,1,9,105,33,121,41,6,2010-03-27,3,21,2,15,85,35,164,66,5,3.2,3.4,2.2,A
1,18,5,19,174,62,140,55,4,2010-03-27,2,8,4,11,150,47,95,37,4,2.5,3.3,2.75,A
4,12,3,11,126,52,115,38,3,2010-03-27,2,22,3,17,105,47,141,55,5,8.0,4.5,1.4,H
2,6,7,16,170,62,88,23,1,2010-03-28,2,7,6,14,116,37,129,31,2,5.5,3.75,1.62,D
4,14,3,13,132,45,142,57,3,2010-03-28,4,11,4,18,139,49,143,56,2,2.3,3.25,3.1,H
2,26,2,18,115,50,142,57,6,2010-04-03,1,20,4,14,112,40,142,59,5,2.8,3.4,2.4,H
3,17,3,15,80,32,142,57,4,2010-04-03,2,14,4,16,113,40,122,41,4,2.25,3.25,3.2,H
4,11,4,9,119,40,153,48,2,2010-04-03,4,15,3,17,139,57,103,42,3,3.0,3.25,2.38,A
5,10,4,17,141,53,113,31,1,2010-04-03,3,7,6,15,170,61,89,26,1,3.4,3.2,2.2,D
2,6,4,9,135,40,100,31,4,2010-04-03,4,14,3,14,135,58,120,44,3,3.75,3.4,2.0,H
2,19,2,11,117,51,150,64,6,2010-04-03,3,19,1,9,100,33,122,43,6,2.55,3.4,2.7,A
4,11,3,16,145,46,136,54,3,2010-04-03,1,22,2,12,119,39,149,66,7,8.0,4.5,1.4,H
0,9,8,24,136,60,111,36,2,2010-04-04,4,12,4,14,137,49,137,51,2,7.0,4.33,1.44,D
3,8,5,13,110,34,131,33,2,2010-04-04,1,19,4,16,177,57,138,57,5,4.2,3.5,1.85,H
1,16,4,17,116,41,131,45,5,2010-04-09,3,12,4,18,146,49,139,50,3,3.0,3.25,2.38,H
2,18,2,9,95,30,122,40,6,2010-04-10,1,9,7,23,137,58,103,34,2,1.73,3.5,5.0,H
1,23,2,13,123,39,148,67,7,2010-04-10,3,14,4,9,120,38,145,48,3,2.4,3.3,2.9,A
4,12,4,18,129,55,103,39,2,2010-04-10,3,8,5,14,110,35,142,39,2,4.33,3.5,1.83,A
2,18,2,10,116,46,142,58,6,2010-04-10,3,16,4,18,84,36,147,59,3,2.2,3.4,3.2,D
1,21,4,15,112,41,139,62,5,2010-04-10,2,5,5,11,140,43,97,30,3,1.91,3.6,4.0,H
4,8,5,15,156,57,100,33,1,2010-04-10,2,25,2,17,113,48,140,54,6,10.0,4.75,1.33,H
5,12,3,13,127,46,135,50,2,2010-04-11,5,9,4,16,147,56,105,28,1,2.2,3.3,3.25,A
1,21,3,13,188,58,129,56,6,2010-04-11,3,15,3,13,136,60,128,44,4,2.4,3.3,2.9,A
4,10,5,18,145,56,104,25,1,2010-04-16,4,12,4,17,125,51,101,40,2,3.5,3.3,2.1,H
1,12,6,22,138,58,103,33,3,2010-04-17,3,16,2,11,125,48,119,48,5,12.0,6.0,1.22,H
3,12,4,14,134,58,147,52,3,2010-04-17,4,7,5,16,160,57,99,32,1,3.0,3.25,2.38,H
2,6,4,8,123,33,99,31,4,2010-04-17,4,13,3,13,134,45,127,46,3,7.5,4.2,1.44,A
3,10,4,15,144,47,142,49,3,2010-04-17,2,18,3,13,95,33,123,41,5,9.0,4.5,1.36,H
4,14,4,18,84,35,146,54,2,2010-04-17,1,20,2,12,126,38,152,65,7,3.2,3.4,2.2,H
2,26,1,13,107,43,145,59,7,2010-04-17,0,22,3,12,194,61,127,55,7,2.5,3.4,2.7,A
3,8,5,14,109,36,143,40,2,2010-04-18,1,20,4,12,110,39,139,60,5,6.0,3.8,1.57,D
2,14,5,10,117,36,144,46,3,2010-04-18,1,15,4,17,120,44,130,42,5,3.0,3.4,2.3,D
1,20,2,12,132,42,146,62,7,2010-04-23,3,9,6,19,143,52,106,26,1,1.83,3.75,4.0,A
1,21,3,14,97,36,126,44,6,2010-04-24,3,15,4,10,110,36,149,51,3,1.91,3.6,3.75,A
1,11,6,27,150,68,107,32,3,2010-04-24,3,14,5,19,88,39,152,53,2,10.0,5.25,1.29,H
2,14,4,17,118,47,128,43,4,2010-04-24,2,6,4,8,124,34,98,29,4,3.25,3.2,2.25,D
3,20,2,10,116,40,127,53,5,2010-04-24,3,11,4,17,152,49,134,48,3,1.5,4.33,6.0,D
2,19,3,10,102,34,140,62,5,2010-04-24,3,12,4,14,132,55,144,51,3,2.2,3.3,3.25,A
3,11,4,14,121,44,98,37,3,2010-04-24,2,28,1,14,117,49,145,58,7,11.0,5.0,1.29,H
0,23,3,13,193,58,126,54,7,2010-04-25,3,9,5,17,159,56,109,37,2,2.25,3.4,3.1,H
3,10,4,11,125,40,130,42,3,2010-04-25,4,7,5,14,119,40,133,37,1,2.5,3.25,2.8,H
3,7,7,20,140,53,105,25,0,2010-05-01,4,18,2,10,109,36,138,55,4,17.0,8.0,1.13,H
0,22,3,12,180,54,128,50,7,2010-05-01,2,21,2,9,105,33,135,62,6,5.5,3.8,1.6,D
4,11,4,13,118,42,128,39,2,2010-05-01,3,15,4,19,119,50,120,43,3,3.0,3.3,2.35,A
3,9,4,15,151,54,108,39,3,2010-05-01,3,11,4,13,133,51,100,36,3,2.88,3.3,2.4,D
3,13,4,15,131,55,141,49,3,2010-05-01,3,8,5,15,125,39,124,38,2,3.6,3.6,2.0,H
4,10,4,17,157,50,131,44,2,2010-05-01,1,10,6,25,143,65,108,31,3,4.2,3.6,1.83,H
2,14,5,10,118,42,149,52,3,2010-05-01,3,15,5,18,88,36,137,51,2,9.0,5.0,1.33,D
2,24,1,13,117,45,152,59,7,2010-05-01,1,20,3,14,103,40,126,48,6,3.2,3.4,2.15,A
2,8,4,10,123,34,108,33,4,2010-05-01,1,21,1,9,126,35,148,60,8,9.0,5.0,1.33,D
1,15,5,22,119,53,124,39,4,2010-05-08,2,8,8,23,151,59,105,27,0,2.8,3.6,2.3,A
3,18,2,9,115,37,133,56,5,2010-05-08,4,11,3,14,135,48,107,42,3,1.91,3.6,3.75,H
3,20,2,10,114,38,145,60,5,2010-05-08,3,12,5,11,126,48,136,47,2,1.8,3.75,4.2,A
2,18,1,10,133,36,143,52,7,2010-05-08,3,11,4,12,115,39,122,37,3,2.3,3.5,2.9,D
1,19,3,14,96,37,126,47,6,2010-05-08,2,10,4,12,129,35,116,37,4,2.38,3.4,2.88,D
3,14,5,17,86,37,144,57,2,2010-05-08,3,9,5,21,158,54,117,39,2,1.73,4.0,4.33,D
4,12,3,10,123,47,96,33,3,2010-05-08,2,12,5,18,142,65,146,49,3,5.5,4.33,1.53,H
2,12,5,15,127,39,136,49,3,2010-05-08,1,24,1,11,116,43,150,59,8,5.25,4.0,1.62,D
2,16,5,21,122,51,126,45,3,2010-05-08,1,21,3,12,193,59,128,50,6,4.2,4.0,1.73,H
1,23,3,13,188,56,133,53,6,2010-08-20,3,22,2,11,115,44,146,61,5,5.5,4.0,1.57,H
2,17,3,13,101,39,120,42,5,2010-08-21,3,13,4,15,134,42,139,51,3,2.88,3.4,2.38,H
2,16,5,22,121,50,133,46,3,2010-08-21,1,18,4,21,126,54,114,39,5,2.7,3.25,2.6,H
2,23,1,11,123,42,165,64,7,2010-08-21,4,10,4,13,113,43,124,38,2,2.38,3.4,2.88,H
1,13,5,18,134,62,148,50,4,2010-08-21,3,9,5,21,182,66,107,34,2,4.0,3.4,1.91,D
3,15,5,18,94,37,165,67,2,2010-08-22,3,18,2,10,113,32,137,59,5,2.88,3.4,2.38,A
3,17,1,10,134,38,135,49,6,2010-08-22,3,9,3,10,132,35,120,36,4,2.25,3.4,3.1,H
3,14,4,16,136,42,143,54,3,2010-08-28,2,16,5,20,123,52,140,45,3,2.2,3.5,3.1,A
3,13,3,15,133,50,110,41,4,2010-08-28,2,11,5,17,133,60,148,51,3,4.0,3.4,1.91,A
1,18,4,21,132,52,117,42,5,2010-08-28,2,14,4,14,109,41,122,41,4,10.0,4.75,1.33,A
2,12,5,13,127,47,98,33,3,2010-08-28,1,22,2,13,119,44,158,60,7,7.0,4.75,1.4,H
3,10,3,10,133,37,123,41,4,2010-08-28,1,20,4,14,197,60,127,52,5,5.5,4.0,1.57,A
4,10,4,19,176,63,116,37,2,2010-08-29,3,15,4,15,98,39,167,64,3,8.0,4.75,1.36,A
3,15,3,12,125,34,135,57,4,2010-08-29,2,15,2,10,134,38,135,49,6,3.25,3.3,2.2,A
2,13,5,15,109,41,126,43,3,2010-09-10,4,15,2,12,105,42,120,44,4,2.88,3.3,2.4,H
1,25,2,15,121,48,159,63,7,2010-09-11,2,21,3,12,119,43,148,54,5,5.5,4.0,1.57,D
